objectIdFieldName,globalIdFieldName,geometryType,spatialReference__wkid,spatialReference__latestWkid,fields__name,fields__alias,fields__type,fields__length,features__attributes__ADDRESS_POINT_ID,features__attributes__ADDRESS_NUMBER,features__attributes__LINEAR_NAME_FULL,features__attributes__ADDRESS_FULL,features__attributes__POSTAL_CODE,features__attributes__MUNICIPALITY,features__attributes__CITY,features__attributes__PLACE_NAME,features__attributes__GENERAL_USE_CODE,features__attributes__CENTRELINE_ID,features__attributes__LO_NUM,features__attributes__LO_NUM_SUF,features__attributes__HI_NUM,features__attributes__HI_NUM_SUF,features__attributes__LINEAR_NAME_ID,features__attributes__X,features__attributes__Y,features__attributes__LONGITUDE,features__attributes__LATITUDE,features__attributes__MAINT_STAGE,features__attributes__OBJECTID,features__attributes__PT_ID,features__attributes__PT_TYPE,features__attributes__PT_NAME,features__attributes__PT_CONN_ROUTE,features__attributes__PT_PUB_PARK,features__attributes__PT_KISS_RIDE,features__attributes__PT_ESCALATOR,features__attributes__PT_ELEVATOR,features__attributes__PT_TRANSF_REQ,features__attributes__PT_PUB_WASH,features__attributes__PT_PHONE,features__attributes__PT_OTHER_TRAN,features__attributes__PT_WEBSITE,features__attributes__PT_EXTRA1,features__attributes__PT_EXTRA2,features__geometry__x,features__geometry__y
,,,,,LO_NUM,LO_NUM,esriFieldTypeInteger,,8141047,75,Queen's Park,75 Queen's Park,null,former Toronto,Toronto,null,115001,8141030,75,null,null,null,11267,313444.444,4836316.141,-79.39281286,43.66674903,REGULAR,2047365,1030,Subway Stations,MUSEUM,"5,C - 142",No,No,Train Platform to Mezzanine,No,Yes,No,(416) 393-4636,null,http://www.ttc.ca/Subway/Stations/Museum/station.jsp,null,null,-8837967.14,5414013.51
,,,,,LO_NUM_SUF,LO_NUM_SUF,esriFieldTypeString,3,7754566,16,Wellesley St E,16 Wellesley St E,M4Y 1G2,former Toronto,Toronto,null,115001,14673541,16,null,null,null,4648,314160.307,4836155.441,-79.38393902,43.66529384,REGULAR,1930649,1025,Subway Stations,WELLESLEY,"94,C - 97B",No,No,Train Platform to Street,No,97B Only,No,(416) 393-4636,null,http://www.ttc.ca/Subway/Stations/Wellesley/station.jsp,null,null,-8836979.309,5413789.573
,,,,,HI_NUM,HI_NUM,esriFieldTypeInteger,,8540540,633,Sherbourne St,633 Sherbourne St,M4X 1L7,former Toronto,Toronto,null,115001,8540536,633,null,null,null,4391,314763.184,4836906.827,-79.37644649,43.67204089,REGULAR,3816786,1027,Subway Stations,SHERBOURNE,75,No,No,Train Platform to Mezzanine and Street,No,Yes,No,(416) 393-4636,null,http://www.ttc.ca/Subway/Stations/Sherbourne/station.jsp,null,null,-8836145.604,5414829.234
,,,,,HI_NUM_SUF,HI_NUM_SUF,esriFieldTypeString,3,8540639,600,Bloor St E,600 Bloor St E,M4W 3Z2,former Toronto,Toronto,null,115001,8540612,600,null,null,null,3020,315327.199,4837039.528,-79.36945279,43.67323618,REGULAR,3117293,1023,Subway Stations,CASTLE FRANK,"65,A,D - 94,C",No,No,Train Platform to Mezzanine and Street,No,No,No,(416) 393-4636,null,http://www.ttc.ca/Subway/Stations/Castle_Frank/station.jsp,null,null,-8835366.709,5415011.875
,,,,,LINEAR_NAME_ID,LINEAR_NAME_ID,esriFieldTypeDouble,,10835316,769,Broadview Ave,769 Broadview Ave,null,former Toronto,Toronto,"Broadview Subway Station Parkette,Subway Surplus Lands - 3",115001,14036120,769,null,null,null,44,316211.612,4837451.827,-79.35847304,43.67692577,REGULAR,3836448,1022,Subway Stations,BROADVIEW,"8 - 62 - 87,A,B - 100,A,D - 504 - 505",No,No,"Train Platform to Mezzanine, Bus Platform and Street",Yes,No,No,(416) 393-4636,null,http://www.ttc.ca/Subway/Stations/Broadview/station.jsp,null,null,-8834144.809,5415581.068
,,,,,X,X,esriFieldTypeDouble,,10834581,22,Chester Ave,22 Chester Ave,M4K 2Z9,former Toronto,Toronto,null,115001,30017230,22,null,null,null,61,316690.241,4837597.736,-79.35253711,43.67824022,REGULAR,2995705,1021,Subway Stations,CHESTER,null,No,No,Train Platform to Mezzanine and Street,No,No,No,(416) 393-4636,null,http://www.ttc.ca/Subway/Stations/Chester/station.jsp,null,null,-8833483.665,5415782.065
,,,,,Y,Y,esriFieldTypeDouble,,7994419,35,Quebec Ave,35 Quebec Ave,M6P 2T3,former Toronto,Toronto,null,115001,7994416,35,null,null,null,4236,307469.676,4834886.761,-79.46690655,43.65392814,REGULAR,2650993,1043,Subway Stations,HIGH PARK,"30,B",No,No,"Train Platform to Mezzanine, Bus Platform and Street",No,Yes,No,(416) 393-4636,null,http://www.ttc.ca/Subway/Stations/High_Park/station.jsp,null,null,-8846215.209,5412040.709
,,,,,LONGITUDE,LONGITUDE,esriFieldTypeDouble,,14172695,21,Keele St,21 Keele St,M6P 2J8,former Toronto,Toronto,null,115001,20043183,21,null,null,null,703,308021.568,4835072.039,-79.46006348,43.65559371,REGULAR,2238860,1042,Subway Stations,KEELE,"41,B,C - 80 - 89",Yes,No,"Train Platform to Mezzanine, Bus Platform and Street",No,No,No,(416) 393-4636,null,http://www.ttc.ca/Subway/Stations/Keele/station.jsp,null,null,-8845453.442,5412296.973
,,,,,LATITUDE,LATITUDE,esriFieldTypeDouble,,30018824,25,Vitti St,25 Vitti St,null,North York,Toronto,Proposed Sheppard Subway Station-West Portion,115001,30044113,25,null,null,null,19699,306446.701,4845997.821,-79.47955142,43.75393625,REGULAR,3322256,1070,Subway Stations,DOWNSVIEW PARK,null,null,null,null,null,null,null,(416) 393-4636,null,http://www.ttc.ca/Subway/Stations/Downsview_Park/station.jsp,null,null,-8847623.193,5427441.879
,,,,,MAINT_STAGE,MAINT_STAGE,esriFieldTypeString,10,30017900,3950,Keele St,3950 Keele St,null,North York,Toronto,null,115001,11714744,3950,null,null,null,703,305471.28,4847110.488,-79.49166599,43.7639617,RESERVED,3003972,1071,Subway Stations,FINCH WEST,null,null,null,null,null,null,null,(416) 393-4636,null,http://www.ttc.ca/Subway/Stations/Finch_West/station.jsp,null,null,-8848971.416,5428985.751
,,,,,OBJECTID,OBJECTID,esriFieldTypeOID,,30095692,120,Ian Macdonald Blvd,120 Ian Macdonald Blvd,null,North York,Toronto,TTC York University Station,115001,14064684,120,null,null,null,16446,304787.617,4848210.011,-79.50015382,43.77385041,REGULAR,4221597,1072,Subway Stations,YORK UNIVERSITY,null,null,null,null,null,null,null,(416) 393-4636,null,http://www.ttc.ca/Subway/Stations/York_University/station.jsp,null,null,-8849916.641,5430511.451
,,,,,PT_ID,PT_ID,esriFieldTypeInteger,,30017995,185,Northwest Gt,185 Northwest Gt,null,North York,Toronto,null,115001,30103924,185,null,null,null,11173,303969.023,4848579.786,-79.51032299,43.77717834,REGULAR,4278412,1073,Subway Stations,PIONEER VILLAGE,null,null,null,null,null,null,null,(416) 393-4636,null,http://www.ttc.ca/Subway/Stations/Pioneer_Village/station.jsp,null,null,-8851048.668,5431024.52
,,,,,PT_TYPE,PT_TYPE,esriFieldTypeString,60,13977809,2365,Dundas St W,2365 Dundas St W,M6P 1W7,former Toronto,Toronto,null,115001,9638446,2365,null,null,null,558,308571.7,4835221.483,-79.45324212,43.65693632,REGULAR,2658786,1041,Subway Stations,DUNDAS WEST,"40 - 168,A - 504 - 505",No,No,"Train Platform to Mezzanine, Bus Platform and Street",Yes,No,No,(416) 393-4636,GO Bloor,http://www.ttc.ca/Subway/Stations/Dundas_West/station.jsp,null,null,-8844694.092,5412503.552
,,,,,PT_NAME,PT_NAME,esriFieldTypeString,100,12427667,665,Lawrence Ave W,665 Lawrence Ave W,null,North York,Toronto,null,115001,12427668,665,null,null,null,732,309303.79,4841760.58,-79.44411111,43.71579263,REGULAR,3128291,1038,Subway Stations,LAWRENCE WEST,"52,C - 58,A,B - 59A,B,C - 109B,C - 400",No,No,Train Platform to Bus Platform and Street,No,No,No,(416) 393-4636,null,http://www.ttc.ca/Subway/Stations/Lawrence_West/station.jsp,null,null,-8843677.633,5421563.941
,,,,,PT_CONN_ROUTE,PT_CONN_ROUTE,esriFieldTypeString,500,798368,263,Dupont St,263 Dupont St,M5R 1V8,former Toronto,Toronto,null,115001,1141292,263,null,null,null,3343,312315.49,4837208.268,-79.40679935,43.67479162,REGULAR,2220252,1031,Subway Stations,DUPONT,26 - 127,No,No,Train Platform to Mezzanine and Street,No,Yes,No,(416) 393-4636,null,http://www.ttc.ca/Subway/Stations/Dupont/station.jsp,null,null,-8839524.108,5415251.271
,,,,,PT_PUB_PARK,PT_PUB_PARK,esriFieldTypeString,500,8417694,746,Ossington Ave,746 Ossington Ave,M6G 3T9,former Toronto,Toronto,null,115001,14011571,746,null,null,null,4125,310744.074,4835828.969,-79.42630256,43.66239032,REGULAR,2522077,1035,Subway Stations,OSSINGTON,"63,A - 94 - 161,A",No,No,"Train Platform to Mezzanine, Bus Platform and Street",No,No,No,(416) 393-4636,null,http://www.ttc.ca/Subway/Stations/Ossington/station.jsp,null,null,-8841695.195,5413342.771
,,,,,PT_KISS_RIDE,PT_KISS_RIDE,esriFieldTypeString,80,10223914,1006,Dufferin St,1006 Dufferin St,null,former Toronto,Toronto,null,115001,14011415,1006,null,null,null,557,309995.38,4835572.536,-79.4355881,43.66008769,REGULAR,1930829,1039,Subway Stations,DUFFERIN,"29,A - 402",No,No,Train Platform to Mezzanine and Street,No,Yes,No,(416) 393-4636,null,http://www.ttc.ca/Subway/Stations/Dufferin/station.jsp,null,null,-8842728.856,5412988.451
,,,,,PT_ESCALATOR,PT_ESCALATOR,esriFieldTypeString,80,10335150,691,Lansdowne Ave,691 Lansdowne Ave,M6H 3Y9,former Toronto,Toronto,null,115001,14012788,691,null,null,null,3814,309422.692,4835464.182,-79.44268627,43.65910755,REGULAR,3219966,1040,Subway Stations,LANSDOWNE,"47,B,C",No,No,Train Platform to Mezzanine and Street,No,Yes,No,(416) 393-4636,null,http://www.ttc.ca/Subway/Stations/Lansdowne/station.jsp,null,null,-8843519.383,5412838.956
,,,,,PT_ELEVATOR,PT_ELEVATOR,esriFieldTypeString,80,9523574,819,Bathurst St,819 Bathurst St,M5R 3G2,former Toronto,Toronto,null,115001,14014611,819,null,null,null,436,311953.888,4836251.683,-79.41129647,43.66618465,REGULAR,1731277,1032,Subway Stations,BATHURST,7 - 511,No,No,"Train Platform to Mezzanine, Bus Platform and Street",Yes,No,No,(416) 393-4636,null,http://www.ttc.ca/Subway/Stations/Bathurst/station.jsp,null,null,-8840024.724,5413926.659
,,,,,PT_TRANSF_REQ,PT_TRANSF_REQ,esriFieldTypeString,80,10736657,6,Spadina Rd,6 Spadina Rd,M5R 2S7,former Toronto,Toronto,null,115001,14239869,6,null,null,null,4428,312494.132,4836357.2,-79.40459604,43.66712906,REGULAR,2676631,1034,Subway Stations,SPADINA,127 - 510,No,No,"Train Platform to Mezzanine, Bus Platform and Street",Bloor Subway Only,No,No,(416) 393-4636,null,http://www.ttc.ca/Subway/Stations/Spadina/station.jsp,null,null,-8839278.838,5414071.993
,,,,,PT_PUB_WASH,PT_PUB_WASH,esriFieldTypeString,80,14072575,2672,Bloor St W,2672 Bloor St W,M8X 0A7,Etobicoke,Toronto,null,115001,30081325,2672,null,null,null,458,305210.158,4834457.619,-79.49491548,43.65006138,REGULAR,4152814,1044,Subway Stations,OLD MILL,"66A,D",No,No,Train Platform to Street,No,Yes,No,(416) 393-4636,null,http://www.ttc.ca/Subway/Stations/Old_Mill/station.jsp,null,null,-8849333.512,5411447.117
,,,,,PT_PHONE,PT_PHONE,esriFieldTypeString,50,12157361,955,Royal York Rd,955 Royal York Rd,M8X 2E6,Etobicoke,Toronto,null,115001,20052707,955,null,null,null,2413,303885.019,4834246.862,-79.51134219,43.64816383,REGULAR,4112444,1045,Subway Stations,ROYAL YORK,"15 - 48 - 73,A,B,C - 76,B",No,No,"Train Platform to Mezzanine, Bus Platform and Street",No,No,No,(416) 393-4636,null,http://www.ttc.ca/Subway/Stations/Royal_York/station.jsp,null,null,-8851162.125,5411155.188
,,,,,PT_OTHER_TRAN,PT_OTHER_TRAN,esriFieldTypeString,500,7994198,570,Wilson Ave,570 Wilson Ave,null,North York,Toronto,Wilson Subway Station,115001,7994201,570,null,null,null,4693,308728.142,4843796.345,-79.4512368,43.73411172,REGULAR,3231930,1037,Subway Stations,WILSON,"7A - 29 - 96,A,B,C,D,E,G - 104 - 120 - 160,A - 165,A,B,C,D",Yes,Yes,Train Platform to Mezzanine and Street,Yes,No,Yes,(416) 393-4636,null,http://www.ttc.ca/Subway/Stations/Wilson/station.jsp,null,null,-8844471.223,5424387.137
,,,,,PT_WEBSITE,PT_WEBSITE,esriFieldTypeString,80,10877852,5,Christie St,5 Christie St,M6G 3B1,former Toronto,Toronto,null,115001,14011906,5,null,null,null,3165,311383.429,4836022.255,-79.41837283,43.66412477,REGULAR,2242061,1033,Subway Stations,CHRISTIE,126,No,No,Train Platform to Mezzanine and Street,No,Yes,No,(416) 393-4636,null,http://www.ttc.ca/Subway/Stations/Christie/station.jsp,null,null,-8840812.462,5413609.671
,,,,,PT_EXTRA1,PT_EXTRA1,esriFieldTypeString,500,8353629,950,Kipling Ave,950 Kipling Ave,null,Etobicoke,Toronto,null,115001,8353630,950,null,null,null,1935,302026.954,4833188.215,-79.53437278,43.63863852,REGULAR,3164422,1047,Subway Stations,KIPLING,"30 - 44 - 45,A,E - 46 - 49,A - 111 - 112A,C,D - 123,A,B - 191,A - 192",Yes,Yes,"Train Platform to Bus Platform, Lower Mezzanine and Street",Yes,No,Yes,(416) 393-4636,GO Kipling,http://www.ttc.ca/Subway/Stations/Kipling/station.jsp,null,null,-8853725.514,5409688.584
,,,,,PT_EXTRA2,PT_EXTRA2,esriFieldTypeString,500,14047327,1240,Islington Ave,1240 Islington Ave,M8X 1Y8,Etobicoke,Toronto,null,115001,911644,1240,null,null,null,1863,302857.937,4833941.593,-79.52407618,43.6454226,REGULAR,1865364,1046,Subway Stations,ISLINGTON,"37,A,C,D - 50 - 110,A,B",Yes,Yes,"Train Platform to Mezzanine, Bus Platform and Street",No,No,No,(416) 393-4636,Mississauga Transit,http://www.ttc.ca/Subway/Stations/Islington/station.jsp,null,null,-8852579.301,5410732.159
,,,,,,,,,7792705,671,University Ave,671 University Ave,null,former Toronto,Toronto,Queen's Park Subway Entrance,115001,7792702,671,null,null,null,4583,313666.306,4835545.891,-79.39007445,43.65981315,REGULAR,2981787,1060,Subway Stations,QUEEN'S PARK,"5,C - 142 - 506",No,No,Train Platform to Mezzanine and Street,Yes,Yes,No,(416) 393-4636,null,http://www.ttc.ca/Subway/Stations/Queens_Park/station.jsp,null,null,-8837662.301,5412946.205
,,,,,,,,,6349924,449,University Ave,449 University Ave,null,former Toronto,Toronto,null,115001,6349934,449,null,null,null,4583,313832.261,4834991.175,-79.38802613,43.65481796,REGULAR,2662257,1053,Subway Stations,ST PATRICK,142 - 505,No,No,Train Platform to Mezzanine,No,Yes,No,(416) 393-4636,Downtown Bus Terminal,http://www.ttc.ca/Subway/Stations/St_Patrick/station.jsp,null,null,-8837434.284,5412177.615
,,,,,,,,,8067819,181,Queen St W,181 Queen St W,null,former Toronto,Toronto,null,115001,8067830,181,null,null,null,4238,313930.34,4834535.174,-79.38681792,43.65071214,REGULAR,2708843,1056,Subway Stations,OSGOODE,141 - 142 - 143 - 144 - 501 - 502,No,No,Train Platform to Mezzanine,Yes,Yes,No,(416) 393-4636,null,http://www.ttc.ca/Subway/Stations/Osgoode/station.jsp,null,null,-8837299.786,5411545.916
,,,,,,,,,7929667,173,King St W,173 King St W,null,former Toronto,Toronto,null,115001,7929673,173,null,null,null,3780,314064.849,4834173.994,-79.38515665,43.64745937,REGULAR,2218599,1057,Subway Stations,ST ANDREW,141 - 142 - 143 - 144 - 503 - 504 - 508,No,No,Train Platform to Mezzanine,No,Yes,No,(416) 393-4636,null,http://www.ttc.ca/Subway/Stations/St_Andrew/station.jsp,null,null,-8837114.855,5411045.493
,,,,,,,,,11272990,3,Queen St E,3 Queen St E,null,former Toronto,Toronto,null,115001,11272989,3,null,null,null,4237,314631.794,4834731.504,-79.3781187,43.65247044,REGULAR,2677330,1059,Subway Stations,QUEEN,97B - 141 - 142 - 143 - 144 - 501 - 502,No,No,Track Underpass to Mezzanine and Stores,Yes,Yes,No,(416) 393-4636,null,http://www.ttc.ca/Subway/Stations/Queen/station.jsp,null,null,-8836331.394,5411816.432
,,,,,,,,,8771617,3,King St E,3 King St E,null,former Toronto,Toronto,null,115001,8771611,3,null,null,null,3779,314680.648,4834358.672,-79.37751988,43.6491138,REGULAR,3006365,1058,Subway Stations,KING,141 - 142 - 143 - 144 - 503 - 504 - 508,No,No,Train Platform to Mezzanine and Street,No,Yes,No,(416) 393-4636,null,http://www.ttc.ca/Subway/Stations/King/station.jsp,null,null,-8836264.734,5411300.015
,,,,,,,,,6620141,991,Woodbine Ave,991 Woodbine Ave,null,former Toronto,Toronto,null,115001,14023398,991,null,null,null,391,319894.534,4838513.174,-79.31277112,43.68642215,REGULAR,3167183,1048,Subway Stations,WOODBINE,"91,A,C,F - 92,A",No,No,"Train Platform to Mezzanine, Bus Platform and Street",No,No,No,(416) 393-4636,null,http://www.ttc.ca/Subway/Stations/Woodbine/station.jsp,null,null,-8829056.936,5417041.512
,,,,,,,,,875151,355,Strathmore Blvd,355 Strathmore Blvd,null,former Toronto,Toronto,null,115001,1139618,355,null,null,null,346,319065.58,4838256.76,-79.32306016,43.68413047,REGULAR,1500267,1049,Subway Stations,COXWELL,"22,A - 70,A,B",No,No,"Train Platform to Mezzanine, Bus Platform and Street",No,No,No,(416) 393-4636,null,http://www.ttc.ca/Subway/Stations/Coxwell/station.jsp,null,null,-8830202.308,5416688.736
,,,,,,,,,7939998,10,Linnsmore Cres,10 Linnsmore Cres,M4J 4J6,former Toronto,Toronto,null,115001,14023269,10,null,null,null,11375,318482.611,4838083.36,-79.33029539,43.68258062,REGULAR,2047844,1050,Subway Stations,GREENWOOD,"31,B",No,No,"Train Platform to Mezzanine, Bus Platform and Street",No,No,No,(416) 393-4636,null,http://www.ttc.ca/Subway/Stations/Greenwood/station.jsp,null,null,-8831007.729,5416450.163
,,,,,,,,,10386594,743,Pape Ave,743 Pape Ave,M4K 3T1,former Toronto,Toronto,null,115001,10386591,743,null,null,null,280,317296.358,4837782.78,-79.34501561,43.67989591,REGULAR,2293016,1052,Subway Stations,PAPE,"25,D - 72,A - 81",No,No,"Train Platform to Mezzanine, Bus Platform and Street",No,No,No,(416) 393-4636,null,http://www.ttc.ca/Subway/Stations/Pape/station.jsp,null,null,-8832646.376,5416036.912
,,,,,,,,,7939906,30,Donlands Ave,30 Donlands Ave,null,former Toronto,Toronto,null,115001,20080104,30,null,null,null,109,317876.199,4837905.556,-79.33782111,43.68099108,REGULAR,2804643,1051,Subway Stations,DONLANDS,"56,B - 83",No,No,"Train Platform to Mezzanine, Bus Platform and Street",No,No,No,(416) 393-4636,null,http://www.ttc.ca/Subway/Stations/Donlands/station.jsp,null,null,-8831845.488,5416205.486
,,,,,,,,,7641746,3,Dundas St E,3 Dundas St E,null,former Toronto,Toronto,null,115001,7641732,3,null,null,null,3334,314448.53,4835157.825,-79.380383,43.6563103,REGULAR,3108897,1055,Subway Stations,DUNDAS,97B - 505,No,No,Track Underpass to Mezzanine and Stores,Yes,97B Only,No,(416) 393-4636,Downtown Bus Terminal,http://www.ttc.ca/Subway/Stations/Dundas/station.jsp,null,null,-8836583.455,5412407.228
,,,,,,,,,7730268,3,Carlton St,3 Carlton St,M5B 1L2,former Toronto,Toronto,null,115001,14023521,3,null,null,null,3116,314262.412,4835702.286,-79.3826809,43.66121356,REGULAR,2210192,1054,Subway Stations,COLLEGE,97B - 506,No,No,Train Platform to Mezzanine,No,97B Only,No,(416) 393-4636,null,http://www.ttc.ca/Subway/Stations/College/station.jsp,null,null,-8836839.256,5413161.694
,,,,,,,,,12352756,1300,Eglinton Ave W,1300 Eglinton Ave W,null,former Toronto,Toronto,null,115001,12352759,1300,null,null,null,571,309982.119,4839908.894,-79.43571085,43.69912069,REGULAR,3153735,1063,Subway Stations,EGLINTON WEST,"32,B,C,D - 63 - 109B,C",Yes,No,Train Platform to Bus Platform and Street,Yes,No,No,(416) 393-4636,null,http://www.ttc.ca/Subway/Stations/Eglinton_West/station.jsp,null,null,-8842742.521,5418996.545
,,,,,,,,,14077440,785,Glencairn Ave,785 Glencairn Ave,null,North York,Toronto,null,115001,12427671,785,null,null,null,3534,309547.355,4841045.066,-79.44109477,43.70935059,REGULAR,3090095,1062,Subway Stations,GLENCAIRN,14,No,No,Train Platform to Bus Platform and Street,No,Yes,No,(416) 393-4636,null,http://www.ttc.ca/Subway/Stations/Glencairn/station.jsp,null,null,-8843341.856,5420571.814
,,,,,,,,,7963482,265,Runnymede Rd,265 Runnymede Rd,null,former Toronto,Toronto,null,115001,30093857,265,null,null,null,866,306738.239,4834644.676,-79.47597198,43.65174273,REGULAR,4209608,1064,Subway Stations,RUNNYMEDE,"71,B - 77 - 79,B",No,No,"Train Platform to Mezzanine, Bus Platform and Street",No,Yes,No,(416) 393-4636,null,http://www.ttc.ca/Subway/Stations/Runnymede/station.jsp,null,null,-8847224.731,5411705.794
